Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2020-06-26,175,862,369,1535,464,12226,485,310,1478,354,265,78,583,285,780,571,808.0,537.0,483.0,345.0,125.0,543.0,156.0,672.0,217.0,697.0
2020-06-27,175,862,369,1536,464,12245,485,310,1481,355,265,78,583,286,781,571,808.0,538.0,483.0,345.0,128.0,543.0,157.0,672.0,217.0,701.0
2020-06-28,175,862,369,1536,465,12250,485,310,1487,355,265,79,583,286,781,572,808.0,538.0,483.0,345.0,138.0,543.0,157.0,672.0,217.0,701.0
2020-06-29,350,1724,736,3072,930,24508,970,620,2976,710,530,160,1166,572,1562,1144,1616.0,1076.0,966.0,690.0,282.0,1086.0,316.0,1344.0,434.0,1402.0
2020-07-01,175,862,368,1540,465,12262,486,310,1491,355,265,80,586,286,781,572,808.0,538.0,483.0,345.0,141.0,543.0,158.0,673.0,217.0,699.0
2020-07-02,175,864,368,1540,465,12264,486,310,1492,356,265,82,586,286,781,572,808.0,538.0,483.0,346.0,141.0,542.0,158.0,674.0,217.0,699.0
2020-07-03,175,864,368,1541,465,12270,486,310,1494,356,265,82,587,286,781,572,809.0,538.0,483.0,346.0,141.0,542.0,158.0,674.0,217.0,699.0
2020-07-04,175,864,368,1543,466,12270,486,310,1497,356,265,82,587,287,782,572,811.0,538.0,486.0,346.0,145.0,542.0,158.0,674.0,218.0,699.0
2020-07-05,175,864,368,1542,466,12255,486,311,1498,356,265,82,587,287,782,572,811.0,538.0,486.0,346.0,146.0,542.0,158.0,674.0,218.0,699.0
2020-07-06,175,864,368,1543,466,12263,487,310,1499,356,265,82,587,287,785,572,812.0,539.0,486.0,346.0,146.0,543.0,160.0,674.0,218.0,698.0
2020-07-07,175,865,368,1545,467,12266,487,310,1500,356,265,82,588,287,785,572,812.0,539.0,486.0,346.0,146.0,543.0,160.0,676.0,218.0,699.0
2020-07-08,175,865,368,1545,468,12275,486,310,1503,356,265,82,589,287,785,573,812.0,539.0,486.0,346.0,147.0,543.0,165.0,676.0,218.0,700.0
2020-07-09,176,865,368,1545,468,12287,490,311,1506,356,265,82,589,287,785,573,812.0,539.0,486.0,346.0,148.0,543.0,165.0,676.0,218.0,702.0
2020-07-10,176,866,369,1545,468,12294,489,311,1513,356,265,82,589,287,787,573,812.0,539.0,486.0,346.0,148.0,543.0,165.0,676.0,221.0,705.0
2020-07-11,176,865,369,1546,468,12308,489,311,1513,356,265,82,589,287,787,573,812.0,539.0,486.0,346.0,148.0,543.0,165.0,676.0,221.0,707.0
2020-07-12,176,865,369,1548,468,12312,489,314,1514,356,265,82,589,287,787,573,,,,,,,,,,
